user_id,clicks,time_spent,purchase_count,page_views,cart_additions,customer_segment,month
12748,209,365,1000,500,1000,2,Dec
14911,201,365,1000,500,1000,2,Dec
17841,124,365,1000,500,1000,2,Dec
13089,97,365,1000,500,1000,2,Dec
14606,93,365,1000,500,1000,2,Dec
15311,91,365,1000,500,1000,2,Dec
14646,73,353,1000,500,1000,2,Dec
14156,55,361,1000,500,1000,2,Nov
14298,44,352,1000,500,1000,2,Dec
16033,20,364,1000,500,1000,2,Dec
14096,17,97,1000,500,1000,2,Dec
13081,11,359,1000,500,1000,2,Nov
14159,11,343,1000,500,1000,2,Nov
14456,9,137,1000,500,1000,2,Dec
14505,8,344,1000,500,1000,2,Nov
14769,8,354,1000,500,1000,2,Dec
13263,35,323,1000,450,1000,2,Dec
17511,31,365,1000,453,1000,2,Dec
16931,21,364,1000,448,1000,2,Dec
12415,21,313,1000,444,1000,2,Nov
15039,47,359,1000,408,1000,2,Nov
15547,14,354,1000,441,1000,2,Dec
17611,15,353,1000,440,1000,2,Dec
16549,10,324,1000,445,1000,2,Nov
18118,26,358,1000,424,1000,2,Nov
15529,11,343,1000,415,1000,2,Nov
17337,4,158,1000,421,1000,2,Jul
17920,17,365,1000,407,1000,2,Dec
14796,17,365,1000,403,1000,2,Dec
15555,16,357,1000,401,1000,2,Nov
13694,50,365,1000,366,1000,2,Dec
16686,7,307,1000,406,1000,2,Oct
13230,14,360,1000,393,1000,2,Dec
16904,16,362,1000,387,1000,2,Dec
17811,39,329,1000,359,1000,2,Dec
17338,8,344,1000,389,1000,2,Nov
15159,30,359,1000,363,1000,2,Dec
14088,13,312,1000,379,1000,2,Nov
15005,28,350,1000,360,1000,2,Nov
15498,27,364,1000,360,1000,2,Dec
14527,55,365,1000,330,1000,2,Dec
14502,11,293,1000,368,1000,2,Nov
14667,25,357,1000,354,1000,2,Nov
15998,5,325,1000,370,1000,2,Nov
16360,6,83,1000,365,1000,2,Dec
16241,13,360,1000,347,1000,2,Nov
15023,11,365,1000,347,1000,2,Dec
16984,2,41,1000,354,1000,2,Sep
16713,15,347,1000,338,1000,2,Nov
13137,8,298,1000,345,1000,2,Nov
13969,18,357,1000,334,1000,2,Dec
14049,4,301,1000,348,1000,2,Nov
14534,18,315,1000,331,1000,2,Dec
15861,8,254,1000,339,1000,2,Nov
14056,23,282,1000,320,1000,2,Dec
15993,7,35,1000,335,1000,2,Dec
17602,6,321,1000,335,1000,2,Dec
13018,28,279,1000,313,1000,2,Nov
18069,5,301,1000,334,1000,2,Nov
17735,19,365,1000,319,1000,2,Dec
17954,12,365,1000,326,1000,2,Dec
12567,10,346,1000,323,1000,2,Nov
16923,19,350,1000,313,1000,2,Nov
15033,10,324,1000,315,1000,2,Dec
14730,8,275,1000,317,1000,2,Dec
15856,27,361,1000,295,1000,2,Dec
17139,12,273,1000,309,1000,2,Nov
13451,5,308,1000,315,1000,2,Nov
17758,8,230,1000,310,1000,2,Nov
15867,15,363,1000,302,1000,2,Dec
17220,14,339,1000,303,1000,2,Nov
17530,10,363,1000,306,1000,2,Dec
17346,15,365,1000,299,1000,2,Dec
17238,17,365,1000,297,1000,2,Dec
15358,22,360,1000,292,1000,2,Dec
15719,13,304,1000,299,1000,2,Nov
15034,8,338,1000,299,1000,2,Nov
18041,21,361,1000,285,1000,2,Nov
13668,21,359,1000,284,1000,2,Dec
